,Date,Open,High,Low,Close,Volume
0,2020-05-11 00:00:00,8722.77,8805.14,8696.0,8770.16,3812.842913
1,2020-05-11 01:00:00,8770.15,8775.0,8684.9,8713.41,2206.729701
2,2020-05-11 02:00:00,8711.93,8761.18,8690.0,8748.07,1879.771451
3,2020-05-11 03:00:00,8747.18,8768.0,8658.56,8696.64,2742.314421
4,2020-05-11 04:00:00,8696.24,8710.76,8620.0,8634.53,2670.660752
5,2020-05-11 05:00:00,8633.59,8702.39,8613.01,8689.26,2403.74851
6,2020-05-11 06:00:00,8689.26,8732.23,8666.66,8684.34,2375.459636
7,2020-05-11 07:00:00,8684.68,8706.0,8625.0,8664.32,2877.019622
8,2020-05-11 08:00:00,8664.32,8685.0,8566.01,8636.07,3748.902163
9,2020-05-11 09:00:00,8635.84,8638.43,8478.0,8487.1,5554.120437
10,2020-05-11 10:00:00,8487.11,8885.0,8484.5,8803.07,11097.654261
11,2020-05-11 11:00:00,8803.07,8990.0,8746.0,8927.43,8654.218144
12,2020-05-11 12:00:00,8926.17,9168.0,8725.35,8856.34,22921.021673
13,2020-05-11 13:00:00,8856.35,8968.0,8754.0,8846.12,8487.80437
14,2020-05-11 14:00:00,8847.67,8942.72,8839.55,8871.89,5286.75835
15,2020-05-11 15:00:00,8871.57,8956.01,8812.14,8882.96,5057.336588
16,2020-05-11 16:00:00,8882.97,8924.48,8325.0,8604.34,16482.060739
17,2020-05-11 17:00:00,8604.34,8672.83,8425.05,8506.76,11005.558355
18,2020-05-11 18:00:00,8503.55,8660.0,8200.0,8605.35,19287.079161
19,2020-05-11 19:00:00,8604.2,8780.0,8420.07,8746.86,12480.479103
20,2020-05-11 20:00:00,8745.25,8807.0,8563.94,8630.16,8005.845793
21,2020-05-11 21:00:00,8630.36,8700.0,8459.28,8589.84,3845.108694
22,2020-05-11 22:00:00,8589.84,8647.35,8519.92,8601.37,2931.683799
23,2020-05-11 23:00:00,8600.66,8640.31,8500.0,8561.52,2993.073196
24,2020-05-12 00:00:00,8562.04,8678.55,8528.78,8611.33,3183.633988
25,2020-05-12 01:00:00,8611.34,8644.0,8563.87,8619.5,2378.221965
26,2020-05-12 02:00:00,8619.96,8685.71,8592.0,8637.51,2505.346267
27,2020-05-12 03:00:00,8637.05,8742.43,8632.51,8716.07,3157.723002
28,2020-05-12 04:00:00,8716.75,8750.01,8664.28,8702.57,2719.182653
29,2020-05-12 05:00:00,8702.13,8785.0,8702.13,8730.75,2657.783077
30,2020-05-12 06:00:00,8730.75,8764.01,8652.46,8704.75,2762.883481
31,2020-05-12 07:00:00,8704.16,8719.96,8614.98,8656.05,2808.94255
32,2020-05-12 08:00:00,8655.76,8764.93,8632.93,8749.75,4017.492316
33,2020-05-12 09:00:00,8748.82,8828.72,8743.08,8785.84,4891.217068
34,2020-05-12 10:00:00,8785.84,8820.0,8725.52,8778.21,3434.033308
35,2020-05-12 11:00:00,8778.21,8812.0,8726.0,8800.92,2503.952075
36,2020-05-12 12:00:00,8800.91,8819.0,8735.42,8769.49,2783.75223
37,2020-05-12 13:00:00,8769.74,8780.0,8659.0,8730.01,4561.438695
38,2020-05-12 14:00:00,8730.02,8917.72,8730.01,8887.26,9344.075552
39,2020-05-12 15:00:00,8887.21,8944.72,8846.0,8867.72,5862.046033
40,2020-05-12 16:00:00,8867.72,8953.33,8865.79,8923.82,4768.861547
41,2020-05-12 17:00:00,8923.82,8978.26,8792.74,8879.0,5374.982637
42,2020-05-12 18:00:00,8879.0,8911.0,8835.0,8897.89,2869.555238
43,2020-05-12 19:00:00,8897.89,8925.98,8775.0,8792.19,3992.546344
44,2020-05-12 20:00:00,8792.19,8844.16,8765.0,8815.27,3620.554755
45,2020-05-12 21:00:00,8815.02,8851.92,8730.06,8779.99,2488.896388
46,2020-05-12 22:00:00,8779.99,8831.06,8740.0,8812.9,2331.386595
47,2020-05-12 23:00:00,8812.03,8842.4,8779.99,8810.79,1504.272302
48,2020-05-13 00:00:00,8810.99,8939.0,8792.99,8934.03,4624.744296
49,2020-05-13 01:00:00,8934.04,8955.92,8891.11,8946.16,2549.963988
50,2020-05-13 02:00:00,8946.16,8972.46,8886.12,8936.5,2399.898415
51,2020-05-13 03:00:00,8936.5,8946.52,8890.8,8912.19,1941.859353
52,2020-05-13 04:00:00,8911.99,8940.0,8869.32,8930.57,2178.189014
53,2020-05-13 05:00:00,8930.57,8940.58,8867.63,8883.29,1924.93976
54,2020-05-13 06:00:00,8883.29,8920.0,8866.71,8912.43,1955.366759
55,2020-05-13 07:00:00,8912.69,8920.0,8859.25,8867.2,1926.502902
56,2020-05-13 08:00:00,8867.2,8917.0,8826.72,8908.18,2977.054697
57,2020-05-13 09:00:00,8908.86,8933.25,8891.27,8914.22,2284.984224
58,2020-05-13 10:00:00,8914.22,8960.0,8896.06,8948.05,3299.579429
59,2020-05-13 11:00:00,8949.7,9048.62,8928.0,9035.98,5404.602144
60,2020-05-13 12:00:00,9036.38,9099.22,8982.75,9089.3,5570.474137
61,2020-05-13 13:00:00,9089.3,9115.88,9032.86,9080.06,5384.463179
62,2020-05-13 14:00:00,9080.57,9135.0,9035.93,9082.26,6051.842677
63,2020-05-13 15:00:00,9082.25,9188.0,9081.57,9136.85,6147.688843
64,2020-05-13 16:00:00,9136.85,9165.73,9036.2,9111.2,5041.362324
65,2020-05-13 17:00:00,9111.02,9115.0,9050.01,9085.27,2612.479217
66,2020-05-13 18:00:00,9085.28,9108.55,9070.16,9077.16,2122.058443
67,2020-05-13 19:00:00,9077.6,9160.0,9069.29,9151.24,3189.847797
68,2020-05-13 20:00:00,9151.25,9330.0,9136.75,9285.92,9104.653258
69,2020-05-13 21:00:00,9285.0,9398.0,9252.0,9347.12,7785.064443
70,2020-05-13 22:00:00,9347.52,9363.96,9265.0,9318.51,3482.15085
71,2020-05-13 23:00:00,9317.1,9349.0,9289.98,9309.37,2506.503869
72,2020-05-14 00:00:00,9309.35,9386.62,9285.0,9297.01,3441.300169
73,2020-05-14 01:00:00,9297.55,9328.62,9262.94,9270.62,2377.471505
74,2020-05-14 02:00:00,9270.62,9340.0,9256.76,9334.01,2011.329125
75,2020-05-14 03:00:00,9335.24,9359.37,9300.7,9352.38,2083.769498
76,2020-05-14 04:00:00,9352.38,9356.63,9299.39,9318.69,1742.432603
77,2020-05-14 05:00:00,9318.15,9447.0,9267.0,9437.77,5244.293645
78,2020-05-14 06:00:00,9438.76,9480.0,9403.35,9443.43,4805.869144
